id_aluno,sexo,idade,tipo_de_cota,coeficiente,naturalidade_op,total_reprovacao_nota,total_reprovacao_falta,target_evasao
490,M,28,AC,6.2,0,0,0,0
491,M,31,L5,0.0,0,0,0,1
492,F,25,AC,7.5,0,0,0,0
493,M,39,AC,3.2,0,0,0,0
494,F,24,L2,8.3,0,0,0,1
495,M,25,L2,8.2,0,0,0,0
496,M,25,L2,6.8,0,0,0,0
497,M,24,L1,9.0,0,0,0,0
498,M,27,L2,3.0,0,0,0,0
499,F,24,L1,6.0,0,0,0,0
500,M,25,L2,8.6,0,0,0,0
501,M,24,L2,7.4,0,0,0,0
502,F,26,L1,7.7,0,0,0,0
503,M,33,L6,0.0,0,0,0,1
504,M,28,L6,1.0,0,0,0,1
505,F,32,L5,7.2,0,0,0,0
506,M,37,L5,0.4,0,0,0,1
507,M,26,AC,5.6,0,0,0,0
508,M,25,AC,8.4,0,0,0,1
509,M,24,L5,8.8,0,0,0,0
510,M,24,AC,8.2,0,0,0,0
511,M,27,AC,8.4,0,0,0,0
512,M,32,AC,1.8,0,0,0,1
513,M,25,L6,7.8,0,0,0,0
514,M,25,AC,8.1,0,0,0,0
515,F,24,AC,0.0,0,0,0,1
516,M,24,AC,6.3,0,0,0,0
517,F,25,AC,5.5,0,0,0,1
518,M,25,AC,0.0,0,0,0,1
519,M,25,AC,3.0,0,0,0,1
520,M,24,AC,9.1,0,0,0,0
521,M,25,AC,8.9,0,0,0,1
522,M,30,AC,8.2,0,0,0,0
523,M,25,AC,8.9,0,0,0,0
524,M,25,L5,8.5,0,0,0,0
525,M,26,AC,5.0,0,0,0,1
526,M,24,AC,8.6,0,0,0,0
527,M,25,AC,5.4,0,0,0,1
528,M,28,AC,8.9,0,0,0,0
529,F,25,AC,6.8,0,0,0,0
530,F,24,AC,8.5,0,0,0,0
531,M,24,L5,9.5,0,0,0,0
532,F,25,L5,0.0,0,0,0,1
533,M,34,AC,0.4,1,0,0,1
534,M,27,L2,5.4,0,0,0,1
535,M,25,L2,6.7,0,0,0,0
536,M,26,L1,5.4,0,0,0,0
537,M,26,AC,3.8,0,0,0,1
538,M,26,L5,9.5,0,0,0,0
539,M,33,L2,0.0,0,0,0,1
540,M,32,AC,6.6,0,0,0,0
541,M,26,L1,7.2,0,0,0,0
542,M,27,L1,6.4,0,0,0,0
543,F,26,L2,4.9,0,0,0,0
544,M,27,L1,8.4,1,0,0,0
545,M,27,L2,8.2,0,0,0,0
546,M,32,L2,4.3,0,0,0,1
547,F,27,AC,8.7,0,0,0,0
548,M,61,AC,0.0,0,0,0,1
549,M,30,AC,0.3,1,0,0,1
550,F,33,AC,2.7,0,0,0,1
551,M,35,AC,0.0,0,0,0,1
552,M,47,AC,0.0,1,0,0,1
553,M,30,L6,1.4,0,0,0,1
554,M,28,L6,2.2,0,0,0,0
555,M,37,AC,9.1,0,0,0,1
556,M,41,AC,6.9,0,0,0,0
557,M,34,L1,3.5,0,0,0,0
558,F,26,L6,8.3,0,0,0,0
559,M,26,L6,6.6,0,0,0,0
560,M,50,L6,3.1,0,0,0,1
561,M,25,AC,2.3,0,0,0,1
562,M,26,AC,4.2,0,0,0,1
563,M,25,AC,5.7,0,0,0,0
564,M,26,AC,5.2,0,0,0,0
565,M,26,AC,8.2,0,0,0,0
566,M,29,L5,2.6,0,0,0,1
567,M,33,AC,0.2,0,0,0,1
568,M,29,L5,7.9,0,0,0,0
569,M,27,AC,6.2,0,0,0,0
570,M,28,AC,6.5,0,0,0,0
571,M,27,AC,7.1,0,0,0,0
572,M,27,AC,8.0,0,0,0,1
573,M,27,AC,7.3,0,0,0,0
574,M,27,AC,8.0,0,0,0,0
575,M,27,AC,7.7,0,0,0,0
576,M,26,L5,8.7,0,0,0,0
577,M,25,L5,3.2,0,0,0,1
578,M,27,L6,5.6,0,0,0,0
579,M,26,AC,7.4,0,0,0,0
580,M,35,AC,7.3,0,0,0,0
581,M,26,L2,7.4,0,0,0,0
582,M,25,L1,6.3,0,0,0,0
583,M,26,L2,5.1,0,0,0,0
584,M,25,L1,6.7,0,0,0,0
585,M,26,L2,1.9,1,0,0,1
586,M,27,L5,2.4,0,0,0,1
587,F,25,L2,8.5,0,0,0,0
588,F,29,L6,5.1,0,0,0,0
